
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Alias           ? -> Where-Object                                             
Alias           % -> ForEach-Object                                           
Alias           ac -> Add-Content                                             
Alias           Answer-VMQuestion                                  12.1.0.16… VMware.VimAutomation.Core
Alias           Apply-DrsRecommendation                            12.1.0.16… VMware.VimAutomation.Core
Alias           Apply-VMHostProfile                                12.1.0.16… VMware.VimAutomation.Core
Alias           cat -> Get-Content                                            
Alias           cd -> Set-Location                                            
Alias           chdir -> Set-Location                                         
Alias           clc -> Clear-Content                                          
Alias           clear -> Clear-Host                                           
Alias           clhy -> Clear-History                                         
Alias           cli -> Clear-Item                                             
Alias           clp -> Clear-ItemProperty                                     
Alias           cls -> Clear-Host                                             
Alias           clv -> Clear-Variable                                         
Alias           cnsn -> Connect-PSSession                                     
Alias           compare -> Compare-Object                                     
Alias           Connect-PIComputeInstance                          12.0.0.15… VMware.VimAutomation.Cloud
Alias           Connect-PIDatacenter                               12.0.0.15… VMware.VimAutomation.Cloud
Alias           copy -> Copy-Item                                             
Alias           cp -> Copy-Item                                               
Alias           cpi -> Copy-Item                                              
Alias           cpp -> Copy-ItemProperty                                      
Alias           cvpa -> Convert-Path                                          
Alias           dbp -> Disable-PSBreakpoint                                   
Alias           del -> Remove-Item                                            
Alias           diff -> Compare-Object                                        
Alias           dir -> Get-ChildItem                                          
Alias           Disconnect-PIComputeInstance                       12.0.0.15… VMware.VimAutomation.Cloud
Alias           Disconnect-PIDatacenter                            12.0.0.15… VMware.VimAutomation.Cloud
Alias           dnsn -> Disconnect-PSSession                                  
Alias           ebp -> Enable-PSBreakpoint                                    
Alias           echo -> Write-Output                                          
Alias           epal -> Export-Alias                                          
Alias           epcsv -> Export-Csv                                           
Alias           erase -> Remove-Item                                          
Alias           etsn -> Enter-PSSession                                       
Alias           Export-VM                                          12.1.0.16… VMware.VimAutomation.Core
Alias           exsn -> Exit-PSSession                                        
Alias           fc -> Format-Custom                                           
Alias           fhx -> Format-Hex                                  7.0.0.0    Microsoft.PowerShell.Utility
Alias           fl -> Format-List                                             
Alias           foreach -> ForEach-Object                                     
Alias           ft -> Format-Table                                            
Alias           fw -> Format-Wide                                             
Alias           gal -> Get-Alias                                              
Alias           gbp -> Get-PSBreakpoint                                       
Alias           gc -> Get-Content                                             
Alias           gcb -> Get-Clipboard                               7.0.0.0    Microsoft.PowerShell.Management
Alias           gci -> Get-ChildItem                                          
Alias           gcm -> Get-Command                                            
Alias           gcs -> Get-PSCallStack                                        
Alias           gdr -> Get-PSDrive                                            
Alias           gerr -> Get-Error                                             
Alias           Get-ESX                                            12.1.0.16… VMware.VimAutomation.Core
Alias           Get-KmsCluster                                     12.1.0.17… VMware.VimAutomation.Storage
Alias           Get-PIAccessControlRule                            12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PINetworkAdapter                               12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIUser                                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVApp                                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVAppNetwork                                  12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVAppStartRule                                12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVAppTemplate                                 12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVM                                           12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PIVMTemplate                                   12.0.0.15… VMware.VimAutomation.Cloud
Alias           Get-PowerCLIDocumentation                          12.1.0.16… VMware.VimAutomation.Core
Alias           Get-VC                                             12.1.0.16… VMware.VimAutomation.Core
Alias           Get-VIServer                                       12.1.0.16… VMware.VimAutomation.Core
Alias           Get-VIToolkitConfiguration                         12.1.0.16… VMware.VimAutomation.Core
Alias           Get-VIToolkitVersion                               12.1.0.16… VMware.VimAutomation.Core
Alias           ghy -> Get-History                                            
Alias           gi -> Get-Item                                                
Alias           gin -> Get-ComputerInfo                            7.0.0.0    Microsoft.PowerShell.Management
Alias           gjb -> Get-Job                                                
Alias           gl -> Get-Location                                            
Alias           gm -> Get-Member                                              
Alias           gmo -> Get-Module                                             
Alias           gp -> Get-ItemProperty                                        
Alias           gps -> Get-Process                                            
Alias           gpv -> Get-ItemPropertyValue                                  
Alias           group -> Group-Object                                         
Alias           gsn -> Get-PSSession                                          
Alias           gsv -> Get-Service                                            
Alias           gtz -> Get-TimeZone                                7.0.0.0    Microsoft.PowerShell.Management
Alias           gu -> Get-Unique                                              
Alias           gv -> Get-Variable                                            
Alias           h -> Get-History                                              
Alias           history -> Get-History                                        
Alias           icm -> Invoke-Command                                         
Alias           iex -> Invoke-Expression                                      
Alias           ihy -> Invoke-History                                         
Alias           ii -> Invoke-Item                                             
Alias           Import-PIVAppTemplate                              12.0.0.15… VMware.VimAutomation.Cloud
Alias           ipal -> Import-Alias                                          
Alias           ipcsv -> Import-Csv                                           
Alias           ipmo -> Import-Module                                         
Alias           irm -> Invoke-RestMethod                                      
